id,building_id,site_id,primary_use,square_feet,year_built,floor_count,meter,time_stamp,meter_reading,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
13214777,126,1,Education,21539,2004.0,5.0,0,2016-04-28 15:00:00,120.6,10.5,,0.7,,1012.3,220.0,8.2
13284987,125,1,Education,16802,1995.0,6.0,0,2016-05-01 04:00:00,141.3,2.7,0.0,2.0,,1028.1,250.0,1.5
6042358,112,1,Education,32206,,6.0,0,2016-08-10 04:00:00,0.0,10.9,,7.8,,1024.7,290.0,3.1
15884458,107,1,Education,97532,2005.0,10.0,0,2016-08-02 07:00:00,84.3,17.5,,16.3,,1009.6,220.0,5.1
14364089,122,1,Education,83043,1991.0,6.0,0,2016-06-08 20:00:00,254.8,20.5,,17.9,,1023.1,10.0,1.5
18400615,105,1,Education,50623,,5.0,0,2016-10-31 03:00:00,48.1,10.1,,9.9,,1028.0,30.0,1.5
8065227,114,1,Education,139683,1958.0,13.0,3,2016-10-21 11:00:00,0.0,11.5,,7.3,,1020.7,350.0,3.6
13711023,105,1,Education,50623,,5.0,0,2016-05-16 12:00:00,127.3,15.6,,6.3,,1021.3,290.0,3.6
15636590,113,1,Education,100481,1958.0,9.0,3,2016-07-24 10:00:00,0.0,21.8,,14.3,,1019.4,230.0,6.2
4258451,105,1,Education,50623,,5.0,0,2016-06-06 23:00:00,55.8,15.7,0.0,6.1,,1022.1,60.0,2.1
19648509,118,1,Education,138316,1960.0,8.0,0,2016-12-15 00:00:00,254.0,5.3,,4.5,,1020.5,130.0,2.6
3372604,112,1,Education,32206,,6.0,3,2016-05-06 12:00:00,190.0,22.0,,7.4,,1009.7,110.0,3.6
8304336,107,1,Education,97532,2005.0,10.0,0,2016-10-29 23:00:00,65.0,9.7,0.0,8.7,,1032.7,80.0,1.0
3161149,110,1,Education,27814,2006.0,8.0,0,2016-04-29 01:00:00,321.0,6.4,,4.4,,1009.0,240.0,5.7
15043210,116,1,Education,37265,,5.0,0,2016-07-03 04:00:00,151.8,10.6,0.0,9.0,,1017.6,180.0,2.1
14364082,117,1,Education,15489,2004.0,4.0,3,2016-06-08 20:00:00,20.0,20.5,,17.9,,1023.1,10.0,1.5
1516130,120,1,Education,68211,1976.0,7.0,0,2016-02-26 21:00:00,122.0,4.7,,0.5,,1007.3,90.0,3.6
7960867,126,1,Education,21539,2004.0,5.0,0,2016-10-17 18:00:00,140.6,11.9,,10.0,,1020.1,230.0,3.6
15799764,116,1,Education,37265,,5.0,0,2016-07-30 07:00:00,151.8,16.2,,13.0,,1013.3,330.0,2.6
13999705,115,1,Education,129716,1968.0,6.0,0,2016-05-26 20:00:00,485.8,16.5,,11.0,,1015.4,100.0,5.1
18540844,119,1,Education,91149,2007.0,7.0,3,2016-11-05 04:00:00,300.0,2.7,,2.6,,1004.7,300.0,1.0
399592,116,1,Education,37265,,5.0,0,2016-01-15 21:00:00,150.3,3.3,,-0.6,,1024.8,280.0,4.1
14005496,126,1,Education,21539,2004.0,5.0,0,2016-05-27 01:00:00,105.2,11.6,,9.2,,1016.6,80.0,2.1
